commenttext,toxic
Law enforcement is not trained to shoot to apprehend They are trained to shoot to kill And I thank Wilson for killing that punk bitch,true
here people his facebook is he has ties with isis and other terrorist groups he is a muslim extremist ,true
I would LOVE to see this pussy go to Staten Island and spit on a cop I would LOVE to see it happen Mike Brown was a strong arm thug and people are burning Ferguson down Eric Garnier did nothing wrong and was choked to death No protest on mafia controlled Staten Island No burning cars Nothing,true
mike browns father was made to say that boooshit,true
the guy on the right is so on point don't judge on his speaking abilities but judge him on his messege you racist fucks can suck my dick and like always the media focusing on the thing that don't matter CNN is shit,true
Masri is about as close as you can get to ISIS in America,true
We all know with the chimpers there is no compassion in their mud pumping hearts,true
Bassem Masri is a terrorist part of isis,true
I would'nt waist my time trying to reason with this Police spitting Thug Trying to defend Criminal Brown is a losing matter The Grand Jury has made they're decision  Live with it,true
I wish mr masri was dead,true
You actually CAN shout fire in a crowded theater Christopher Hitchens demonstrated this in his talk about free speech Look it up The interviewee is correct Cops serve the public not the other way around And it is consistent with serving that public that the police department represent that public's race and ethnicity in its ranks Hire a bunch of big tough black guys to the police department and you will have fewer blacks being shot to death by a puny white guy who felt humiliated when he got bitch slapped by a teenager,true
I think he kill him,true
Lol This is what happens when the greedy rich slime keep the masses uneducated & ignorant Now deal with the stupid that you created Trying to reason with the irrational is an exercise in futility Get the popcorn ready bc it's about to boil over If you fall for the talk you will fall just walking,true
The legal system is inherently racist same as this CNN reporter,true
He looks ready to cut heads off he must be a isis sympathizer and I'm going to say maybe 5% care about the issue at hand and other 95% just want to go loot stores and fuck shit up,true
lol shoot to apprehend He is an idiot,true
This man is a zionist jew look at ypu can see the jewnesss in his face cnn only employ zionist sympathisers and neo-con racists and wolf blitzer is the emplpyeee,true
stop being criminals and you wont get shot that simple,true
Massri needs an education,true
CNN mother fuckersfuck you peace of shit,true
Hers my statement I think ali sheep butt fucker masri should take an ak and go fight in syria,true
Hahahahaha This guy is Ed Bassmaster's character ALWAYS TESTE Ed Bassmaster has a semi-retarded character who is cross-eyed just like this guy,true
A completely idiot having his minutrs of fame,true
I hope to god you guys is still not falling for the same ol banana in the tailpipe bullshit news that they're giving you,true
CNN is such Bullcrap,true
Ayy CNN are lookin like pussies,true
Smirconnish is the most even-handed guy in the world This guy Masri is an idiot,true
Let's reverse the rolls Black racist cops in rich white communities(but you can't prove there racist) When a white man gets pissed off at this intolerable condition We unload several clips of high caliber ammo at point blank range for his audacity at questioning authority All Americans need to be on full alert of this elitist agenda to set presidents of questioning authority The elitist upper-class is the problem Prison culture CIA drug Cartels Exporting jobs and importing cheap labor While the elitist get bailed out and support this corrupt system We can turn this around when we c get past the race issue the Govt incites to divide the working class but you can hardly call it a working class because the Govt put everyone out of work We are more of a homeless class Let us not for get Western history and the role big money plays in this clusterfuck designed to destroy a Nation that is Destroyed at this point We can get it back ask me how,true
This moron is talking about being peaceful? Their burning the nation's flag idiot Even though that's what you are suppose to do when it's old so they have no knowledge They are babies making noise,true
Can someone shoot this black idiot too? That would make me giggle inside :),true
You people are sick This man is speaking the truth and y'all are just mad Trying to justify why a young boy who did nothing was shot and killed smh Y'all are the devil and a disease to this earth I'll be glad when the sun burns all your asses into extinction and we can have our planet back Half animal half devil cave beasts,true
The world is changing im mad at the police too but id be dam if isis gonna come in here thats when its time to kill these faucks,true
What a waste of time talking to that idiot You know what Im sayin I'll believe what I want to believe- Yup- hell with facts or evidence Loser,true
News fucktardspuppet players all they are paid liars,true
does this guy riot before or after work? Orrrr let me guess he fucks off all day doing nothing,true
Racial profiling and police intimidation? He robbed a store and got killed as a result Fucking excuses man Black people shouldn't have to get arrested when they commit a strong arm robbery When black people get violent they shouldn't have to fear getting put down like an animal He actually said we shouldn't have to worry about warrants lol Fucking piece of human garbage,true
Wrong Mother Fucker No shoot to apprehend,true
This Muslim man does not have anything in mind of peace He wants to stir up dissonance and trouble among Americans by using racist accusations  THAT IS HIS MAN GOAL,true
Add another imbecile to the bunch reporter is a incompetent bastard,true
This interviewer is right This guy should show some respect to the paramilitary police that are killing and getting away with it Ha,true
You all are some dumb as people,true
bassem I think walmart is hiring for the holidays get a job loser,true
YEah  You are right 1 white shot a  black all hell break  loseblack shot black no protest maybe if they start doing  protest on black shotting blackyou can buy in thier story,true
Lets Steal from a convenience store then lets go and punch a cop in the face and get shot 6 times then lets get all the black people and white apologists to run around the street setting buildings on fire fucking dirty gutter rats all living on welfare and causing violencejust look where the rest of black people live on the dirties Ebola plague ridden continent lucky white countries can come over and cure their dumb asses,true
I'm with this dude fuck the punk police,true
What a stupid arab Police shoot to apprehend? Lmao That's not how it works when they are being attacked,true
What an ignorant coward full of emotion estrogen and apathy And where the hell did you come from? Fuckin racially ambiguous blackwashed loudmouth They really chose a pathetic man to interview ,true
That motherfucker was angry and I understand why,true
Let's get this straight and present the facts as the mass media should have from the beginning 18 yr old (by all legal aspects an adult) robs a convince store The criminal later flees the seen and is aprehended by the police Resists arrest and altercation occurs between the two The police (as in every case similar to this uses force) Criminal is killed The killing goes to court A randomly selected jury views all the evidence and hears out all witnesses which pertain to the case Radom jury reaches unanimous verdict of not guilty Im sorry protestors I can't here over all this DEMOCRACY,true
If you act like animals you get treated like animals,true
You tellin me if he did in fact steal swisher sweets is the value of his lifeJust admit you all are racist quit being a bunch of FAGGOTT bitches,true
Shoot to apprehend? Easier said than done When the evidence was presented Michael brown was still attackin darren after he was shot twice People have this misconception like in the movies that one gun shot anywhere to the body will disable an attacker This is a false belief There are cases of people still attacking or running after they've been shot 2-3 times For god sake 50 cent was shot 9 times and he's alive When you're being attacked by a 6 ft 3 200 somthing pound person and you're on your back it's hard to say Im just goin to shoot to apprehend Had michael brown copnducted himself like a gentleman this wouldn't have happened He was an aggresive piece of shit and this muslim shit head isn't any better He's filled with rage and doesn't have the answer for anything Progression comes from tolerance not violence,true
This guy is a moron,true
Cnnso out of touchclose up idiots people are watching for the comedy of reportinglol,true
Bassem Masri is a criminal a thug and a psychopath He has no credibility and no humanity He needs to be locked in a jail cell Time for the rubber-room and straight-jacket for Bassem Get his intellectually dishonest butt out of the community ,true
CNN this is why you are a joke,true
I wonder what the police expect will happen when they continually abuse and kill people ? Do they honestly expect the public to do nothing about it ? To just lay back and take it and let the cops just turn into one massive street gang who are allowed to kill without consequence? Even a rat when it's cornered will defend itself,true
I don't want my sons death to be in vain LET'S BURN THIS BITCH DOWN Stupid fucks destroying livelihoods Peaceful protests my fucking ass,true
This is a genuine failure of leadership by the President of the United States This nice town Ferguson should have been declared a state of emergency It should have been put under martial law federal troops should have stuffed the town and non-residents should have been pushed out Everyone knew there was going to be another riot Butwhat did the President do? He didn't want to offend the black community He didn't want anyone else to get shot So he just let 'er burn baby burn Seems to me that a real leader could have had it both ways Mr President sir you have failed reprehensibly - and I do accuse you﻿,true
Arabs Hate black people This ISIS sympathizer just wants to call it his community Nonsense,true
I can't for the life of me understand why people think that Mike Brown was a martyr for some cause The man was a criminal Are all black people criminals? Absolutely not Are there white criminals? Hispanic criminals? You betcha If the situation was EXACTLY the same but the races were reversed there would not be an issue at all,true
Without that badge they a bitch and a half So fuck the police,true
THIS ARAB PIECE OF SHITACTING LIKE HE GETS HARRASSEDHE OR HIS PARENTS OWN A STORE AND YET HE ACTS LIKE HE GETS TREATED LIKE BLACK PEOPLE LOL the same people who steals from his storewhat a moron piece of shit,true
Islamic Terrorist insighting hatred and violence under the disguise of an african citizen its time that american citizens realise their true enemy is islam and not black or white people,true
Fuck CNN you corrupt demon worshiping fools,true
This guy is a dumbass He claims that policed hired thugs took his phone and shot off rounds without any evidence to back his claims,true
Mike browns father does NOT buy into ithe got caught on video saying Burn the bitch down reffering to Fergusonand this dude you are interviwing is just a thug and should not be given air time,true
Brown isused as an excuse to loot take peoples shit and destroy neighborhoodshaaaa typical ghetto bullshit Ya ain't even hood ya just ghetto bitches collecting free rent from the govt while fighting the govt same occupy Wall Street fagets have nothing else to dogo clean the highways,true
